source_url	domain	citation_instances	sections	leaf_sections	section_citation_counts	is_primary	source_role	title	source_flags
https://jcu-i.com/wp/wp-content/uploads/2022/10/irks1_20220511.pdf	jcu-i.com	22	1. まず押さえる結論 | 2. 読み手が先に知るべき要点 | 3. 判断に使う主要根拠 | 4. 方式選定で迷いやすい論点 | 5. 導入前に確認すべきこと | 6. 参照した主要ソース	## 1. まず押さえる結論 | ## 2. 読み手が先に知るべき要点 | ## 3. 判断に使う主要根拠 | ## 6. 参照した主要ソース | ### 4.2 何が選定を分けるか | ### 4.3 用途別に見た方式の役割 | ### 4.4 工程全体と関係者のつながり | ### 4.7 見落としやすい実務リスク | ### 5.1 選定前の実務チェックリスト | ### 5.2 判断を誤らないための運用ルール | ### 5.3 このレポートで残る不確実性	"{""## 1. まず押さえる結論"":1,""## 2. 読み手が先に知るべき要点"":3,""## 3. 判断に使う主要根拠"":2,""## 6. 参照した主要ソース"":1,""### 4.2 何が選定を分けるか"":1,""### 4.3 用途別に見た方式の役割"":2,""### 4.4 工程全体と関係者のつながり"":2,""### 4.7 見落としやすい実務リスク"":3,""### 5.1 選定前の実務チェックリスト"":4,""### 5.2 判断を誤らないための運用ルール"":2,""### 5.3 このレポートで残る不確実性"":1}"	false	vendor_first_party	表面処理技術から未来を創造する	preferred-domain,pdf
https://www2.orist.jp/dl/izumi/archive/Gijutsu_shiryo/Corr.pdf	www2.orist.jp	13	1. まず押さえる結論 | 2. 読み手が先に知るべき要点 | 3. 判断に使う主要根拠 | 4. 方式選定で迷いやすい論点 | 5. 導入前に確認すべきこと | 6. 参照した主要ソース	## 1. まず押さえる結論 | ## 2. 読み手が先に知るべき要点 | ## 3. 判断に使う主要根拠 | ## 6. 参照した主要ソース | ### 4.1 方式比較の見取り図 | ### 4.3 用途別に見た方式の役割 | ### 4.5 例外条件と誤解しやすい境界 | ### 4.7 見落としやすい実務リスク | ### 5.1 選定前の実務チェックリスト | ### 5.2 判断を誤らないための運用ルール	"{""## 1. まず押さえる結論"":1,""## 2. 読み手が先に知るべき要点"":2,""## 3. 判断に使う主要根拠"":1,""## 6. 参照した主要ソース"":1,""### 4.1 方式比較の見取り図"":1,""### 4.3 用途別に見た方式の役割"":1,""### 4.5 例外条件と誤解しやすい境界"":1,""### 4.7 見落としやすい実務リスク"":2,""### 5.1 選定前の実務チェックリスト"":1,""### 5.2 判断を誤らないための運用ルール"":2}"	true	government_context	防錆・防食のためのめっきの基礎知識	preferred-domain,pdf
https://env.go.jp/water/impure/haisui.html	env.go.jp	11	1. まず押さえる結論 | 2. 読み手が先に知るべき要点 | 3. 判断に使う主要根拠 | 4. 方式選定で迷いやすい論点 | 5. 導入前に確認すべきこと | 6. 参照した主要ソース	## 1. まず押さえる結論 | ## 2. 読み手が先に知るべき要点 | ## 3. 判断に使う主要根拠 | ## 6. 参照した主要ソース | ### 4.2 何が選定を分けるか | ### 4.6 直近の制度変更と日付 | ### 4.7 見落としやすい実務リスク | ### 5.1 選定前の実務チェックリスト | ### 5.2 判断を誤らないための運用ルール | ### 5.3 このレポートで残る不確実性	"{""## 1. まず押さえる結論"":1,""## 2. 読み手が先に知るべき要点"":1,""## 3. 判断に使う主要根拠"":2,""## 6. 参照した主要ソース"":1,""### 4.2 何が選定を分けるか"":1,""### 4.6 直近の制度変更と日付"":1,""### 4.7 見落としやすい実務リスク"":1,""### 5.1 選定前の実務チェックリスト"":1,""### 5.2 判断を誤らないための運用ルール"":1,""### 5.3 このレポートで残る不確実性"":1}"	true	official_regulator	一般排水基準 | 水・土壌・地盤・海洋環境の保全 | 環境省	preferred-domain,institutional-domain
https://echa.europa.eu/documents/10162/3bbe9024-52a6-8e63-5581-e686331eb459	echa.europa.eu	10	1. まず押さえる結論 | 2. 読み手が先に知るべき要点 | 3. 判断に使う主要根拠 | 4. 方式選定で迷いやすい論点 | 5. 導入前に確認すべきこと | 6. 参照した主要ソース	## 1. まず押さえる結論 | ## 2. 読み手が先に知るべき要点 | ## 3. 判断に使う主要根拠 | ## 6. 参照した主要ソース | ### 4.2 何が選定を分けるか | ### 4.5 例外条件と誤解しやすい境界 | ### 4.7 見落としやすい実務リスク | ### 5.1 選定前の実務チェックリスト | ### 5.2 判断を誤らないための運用ルール | ### 5.3 このレポートで残る不確実性	"{""## 1. まず押さえる結論"":1,""## 2. 読み手が先に知るべき要点"":1,""## 3. 判断に使う主要根拠"":1,""## 6. 参照した主要ソース"":1,""### 4.2 何が選定を分けるか"":1,""### 4.5 例外条件と誤解しやすい境界"":1,""### 4.7 見落としやすい実務リスク"":1,""### 5.1 選定前の実務チェックリスト"":1,""### 5.2 判断を誤らないための運用ルール"":1,""### 5.3 このレポートで残る不確実性"":1}"	true	legal_text	ANNEX XVII TO REACH – Conditions of restriction	preferred-domain
https://eur-lex.europa.eu/legal-content/EN/TXT?uri=CELEX%3A02011L0065-20250101	eur-lex.europa.eu	10	2. 読み手が先に知るべき要点 | 3. 判断に使う主要根拠 | 4. 方式選定で迷いやすい論点 | 5. 導入前に確認すべきこと | 6. 参照した主要ソース	## 2. 読み手が先に知るべき要点 | ## 3. 判断に使う主要根拠 | ## 6. 参照した主要ソース | ### 4.2 何が選定を分けるか | ### 4.5 例外条件と誤解しやすい境界 | ### 4.6 直近の制度変更と日付 | ### 4.7 見落としやすい実務リスク | ### 5.1 選定前の実務チェックリスト | ### 5.2 判断を誤らないための運用ルール | ### 5.3 このレポートで残る不確実性	"{""## 2. 読み手が先に知るべき要点"":1,""## 3. 判断に使う主要根拠"":1,""## 6. 参照した主要ソース"":1,""### 4.2 何が選定を分けるか"":1,""### 4.5 例外条件と誤解しやすい境界"":1,""### 4.6 直近の制度変更と日付"":1,""### 4.7 見落としやすい実務リスク"":1,""### 5.1 選定前の実務チェックリスト"":1,""### 5.2 判断を誤らないための運用ルール"":1,""### 5.3 このレポートで残る不確実性"":1}"	true	legal_text	Directive 2011/65/EU on the restriction of the use of certain hazardous substances in electrical and electronic equipment (consolidated text)	preferred-domain
https://ipc.org/news-release/ipc-issues-electronics-industry-warning-printed-board-microvia-reliability-high	ipc.org	10	2. 読み手が先に知るべき要点 | 3. 判断に使う主要根拠 | 4. 方式選定で迷いやすい論点 | 5. 導入前に確認すべきこと | 6. 参照した主要ソース	## 2. 読み手が先に知るべき要点 | ## 3. 判断に使う主要根拠 | ## 6. 参照した主要ソース | ### 4.2 何が選定を分けるか | ### 4.5 例外条件と誤解しやすい境界 | ### 4.7 見落としやすい実務リスク | ### 5.1 選定前の実務チェックリスト | ### 5.2 判断を誤らないための運用ルール | ### 5.3 このレポートで残る不確実性	"{""## 2. 読み手が先に知るべき要点"":1,""## 3. 判断に使う主要根拠"":1,""## 6. 参照した主要ソース"":1,""### 4.2 何が選定を分けるか"":1,""### 4.5 例外条件と誤解しやすい境界"":1,""### 4.7 見落としやすい実務リスク"":2,""### 5.1 選定前の実務チェックリスト"":1,""### 5.2 判断を誤らないための運用ルール"":1,""### 5.3 このレポートで残る不確実性"":1}"	true	standards_body	IPC Issues Electronics Industry Warning on Printed Board Microvia Reliability for High Performance Products | IPC International, Inc.	preferred-domain
https://kizaikou.or.jp/basic.html	kizaikou.or.jp	10	1. まず押さえる結論 | 2. 読み手が先に知るべき要点 | 3. 判断に使う主要根拠 | 4. 方式選定で迷いやすい論点 | 5. 導入前に確認すべきこと | 6. 参照した主要ソース	## 1. まず押さえる結論 | ## 2. 読み手が先に知るべき要点 | ## 3. 判断に使う主要根拠 | ## 6. 参照した主要ソース | ### 4.2 何が選定を分けるか | ### 4.3 用途別に見た方式の役割 | ### 4.4 工程全体と関係者のつながり | ### 5.1 選定前の実務チェックリスト | ### 5.2 判断を誤らないための運用ルール	"{""## 1. まず押さえる結論"":1,""## 2. 読み手が先に知るべき要点"":1,""## 3. 判断に使う主要根拠"":1,""## 6. 参照した主要ソース"":1,""### 4.2 何が選定を分けるか"":1,""### 4.3 用途別に見た方式の役割"":2,""### 4.4 工程全体と関係者のつながり"":1,""### 5.1 選定前の実務チェックリスト"":1,""### 5.2 判断を誤らないための運用ルール"":1}"	false	industry_association	機材工 | 機材工 一般社団法人日本表面処理機材工業会	preferred-domain
https://epa.gov/eg/electroplating-effluent-guidelines	epa.gov	9	1. まず押さえる結論 | 3. 判断に使う主要根拠 | 4. 方式選定で迷いやすい論点 | 5. 導入前に確認すべきこと | 6. 参照した主要ソース	## 1. まず押さえる結論 | ## 3. 判断に使う主要根拠 | ## 6. 参照した主要ソース | ### 4.2 何が選定を分けるか | ### 4.4 工程全体と関係者のつながり | ### 4.6 直近の制度変更と日付 | ### 4.7 見落としやすい実務リスク | ### 5.1 選定前の実務チェックリスト | ### 5.2 判断を誤らないための運用ルール	"{""## 1. まず押さえる結論"":1,""## 3. 判断に使う主要根拠"":1,""## 6. 参照した主要ソース"":1,""### 4.2 何が選定を分けるか"":1,""### 4.4 工程全体と関係者のつながり"":1,""### 4.6 直近の制度変更と日付"":1,""### 4.7 見落としやすい実務リスク"":1,""### 5.1 選定前の実務チェックリスト"":1,""### 5.2 判断を誤らないための運用ルール"":1}"	true	official_regulator	Electroplating Effluent Guidelines | US EPA	preferred-domain,institutional-domain
https://fujielectric.co.jp/products/plating/about	fujielectric.co.jp	9	1. まず押さえる結論 | 2. 読み手が先に知るべき要点 | 3. 判断に使う主要根拠 | 4. 方式選定で迷いやすい論点 | 5. 導入前に確認すべきこと | 6. 参照した主要ソース	## 1. まず押さえる結論 | ## 2. 読み手が先に知るべき要点 | ## 3. 判断に使う主要根拠 | ## 6. 参照した主要ソース | ### 4.1 方式比較の見取り図 | ### 4.2 何が選定を分けるか | ### 5.1 選定前の実務チェックリスト	"{""## 1. まず押さえる結論"":1,""## 2. 読み手が先に知るべき要点"":1,""## 3. 判断に使う主要根拠"":2,""## 6. 参照した主要ソース"":1,""### 4.1 方式比較の見取り図"":1,""### 4.2 何が選定を分けるか"":1,""### 5.1 選定前の実務チェックリスト"":2}"	false	vendor_first_party	めっきとは ｜ 富士電機の表面処理（めっき） ｜ 富士電機	preferred-domain
https://osha.gov/laws-regs/regulations/standardnumber/1910/1910.1026	osha.gov	8	2. 読み手が先に知るべき要点 | 3. 判断に使う主要根拠 | 4. 方式選定で迷いやすい論点 | 5. 導入前に確認すべきこと | 6. 参照した主要ソース	## 2. 読み手が先に知るべき要点 | ## 3. 判断に使う主要根拠 | ## 6. 参照した主要ソース | ### 4.2 何が選定を分けるか | ### 4.5 例外条件と誤解しやすい境界 | ### 4.7 見落としやすい実務リスク | ### 5.1 選定前の実務チェックリスト | ### 5.2 判断を誤らないための運用ルール	"{""## 2. 読み手が先に知るべき要点"":1,""## 3. 判断に使う主要根拠"":1,""## 6. 参照した主要ソース"":1,""### 4.2 何が選定を分けるか"":1,""### 4.5 例外条件と誤解しやすい境界"":1,""### 4.7 見落としやすい実務リスク"":1,""### 5.1 選定前の実務チェックリスト"":1,""### 5.2 判断を誤らないための運用ルール"":1}"	true	legal_text	1910.1026 - Chromium (VI). | Occupational Safety and Health Administration	preferred-domain,institutional-domain,official-looking-path
