query	title	url	snippet	published_at
めっき 定義 協会	めっき部会｜表面技術協会	https://mekki.sfj.or.jp/	表面技術協会めっき部会。めっきとは、成形された品物の表面に金・銀・銅などの金属の薄膜を施すことと説明し、多様な単一金属めっき・合金めっきや非金属基材も扱う。	
めっき 定義 メーカー	めっきとは ｜ 富士電機の表面処理（めっき） ｜ 富士電機	https://www.fujielectric.co.jp/products/plating/about/	めっきとは、金属または非金属の表面に金属の薄い皮膜を形成させる技術で、電気めっき・無電解めっき・置換めっきなどを区別している。	
めっき 広義 乾式めっき	めっきとは？｜FAQ｜表面処理｜サービス｜アルバックテクノ	https://www.ulvac-techno.co.jp/service/surface_treatment/faq/001.html	広義には湿式めっきのほか、蒸着、スパッタ、溶射、はんだ被覆など乾式めっきも含むと説明する表面処理FAQ。	
溶融亜鉛めっき 協会	HOME | 一般社団法人 日本溶融亜鉛鍍金協会	https://www.aen-mekki.or.jp/	日本溶融亜鉛鍍金協会。溶融亜鉛めっき技術の開発・向上と普及・啓発、需要開拓のために活動する非営利団体。	2026-04-01
めっき 用途 業界団体	機材工 | 機材工 一般社団法人日本表面処理機材工業会	https://kizaikou.or.jp/basic.html	めっきは自動車部品、機械部品、電気・電子部品、装飾部品などに適用され、防錆性、耐摩耗性、電気伝導性、装飾性などの表面機能を付与すると説明。	
めっき 種類 団体	全国鍍金工業組合連合会（ぜんとれん）	https://zentoren.or.jp/mekki/hyoumenshori.html	無電解めっきは溶液中での還元反応を利用し、金属から非金属まで広くめっき可能で、膜厚精度が高く、主に機能を重視した工業用途に供されると説明。	
めっき 皮膜 種類	全国鍍金工業組合連合会（ぜんとれん）	https://zentoren.or.jp/mekki/shurui.html	白金めっき、亜鉛めっき、クロムめっきなど各皮膜の特性と用途を整理。工業用クロムめっきは比較的厚いめっきとして説明。	
electroplating definition asm	Electroplated Coatings - ASM International	https://www.asminternational.org/results/-/journal_content/56/ASMHBA0003687/BOOK-ARTICLE/	ASMの解説記事。electroplating を、基材と異なる表面特性や寸法を与えるための金属皮膜の電析と説明。	
湿式めっき 基礎 セミナー	2022年関西支部セミナー「湿式めっきの基礎」｜表面技術協会	https://www.sfj.or.jp/kaikoku/20220829Kansai.html	無電解ニッケルめっきの基礎と応用、自動車・機械・電気電子・半導体産業での重要性、めっき液の選定・管理方法を扱うセミナー案内。	2022-08-29
electroplating wastewater EPA	Electroplating Effluent Guidelines | US EPA	https://www.epa.gov/eg/electroplating-effluent-guidelines	EPAの電気めっき排水規制ページ。共通金属、貴金属、無電解めっき、PCBなどのサブカテゴリと対象金属、PFAS/六価クロム関連の論点を整理。	
